IATAcode,airportName,CityName
KEF,Keflavik Airport,Reykjavik
OSL,Gardermoen,Oslo
ARN,Arlanda,Stockholm
CPH,Kastrup,Copenhagen
HEL,Helsinki Vantaa,Helsinki
LHR,London Heathrow,London
STN,London Stansted,London
CDG,Charles de Gaulle International,Paris
FRA,Frankfurt am Main International,Frankfurt
HHN,Frankfurt-Hahn,Frankfurt
ZRH,Zürich Airport,Zürich
BCN,Barcelona International ,Barcelona
SVO,Sheremetyevo International ,Moscow
WAW,Warsaw Chopin Airport,Warsaw
FAE,Vagar Airport,Torshavn
MXP,Malpensa International,Milano
VIE,Vienna International,Vienna
IST,Istanbul Atatürk Airport,Istanbul
TLV,Ben Gurion International,Tel Aviv
CAI,Cairo International,Cairo
DOH,Doha International Airport,Doha
DAR,Julius Nyerere International Airport,Dar es Salaam
NBO,Jomo Kenyatta International,Nairobi
JNB,OR Tambo International,Johannesburg
THR,Mehrabad International Airport,Teheran
BGW,Baghdad International Airport,Baghdad
BOM,Chhatrapati Shivaji International Airport,Mumbai
HKG,Hong Kong International Airport,Hong Kong
PEK,Beijing Capital International,Beijing
BKK,Suvarnabhumi,Bangkok
HAN,Noi Bai International Airport,Hanoi
NRT,Narita International,Tokyo
SYD,Sydney Kingsford Smith International,Sydney
AKL,Auckland International,Auckland
BOS,Logan International,Boston
LAX,Los Angeles International,Los Angeles
YYZ,Lester B. Pearson International,Toronto
KIN,Norman Manley International,Kingston
GIG,Galeão - Antônio Carlos Jobim International,Rio De Janeiro
MEX,Licenciado Benito Juarez International Airport,Mexico City
GLA,Glasgow International Airport,Glasgow
LIS,Lisbon Portela Airport,Lissabon
PRG,Prague Václav Havel Airport,Prague
IZE,Ministro Pistarini International Airport,Buenos Aires
JFK,John F. Kennedy Airport,New York
ATH,Athens International Airport,Athens
